"register","Factor1_mean","Factor2_mean","Factor3_mean","Factor1_sd","Factor2_sd","Factor3_sd"
"brdcast_discussn",0.700870035211216,-0.0701312613969723,-0.295417461731776,0.588562867843291,0.639708249294354,0.328840523339068
"brdcast_documentary",0.358186336115747,0.671208330678982,-0.0759964174722398,0.498395760683495,0.700385165729994,0.809040103864781
"brdcast_news",-0.415435508479582,0.23556753464945,0.0839037796524462,0.235181646475974,0.31034767818175,0.390940505934567
"conversation",0.375371787095675,-1.40619114566816,0.0992856376876406,0.397215153924502,0.610059612662318,0.449376139156448
"formalSpeech",0.317310515435389,1.39392408777811,-0.487264186841866,0.825241535502595,1.34769994708103,0.541954312693638
"informational_blog",-0.11636149762194,0.860554351464275,-0.68441092659257,0.8674826507441,1.23586460265313,0.733340591026811
"interactive_discn",-0.268146497469016,-0.563705285606783,-0.376417810600238,0.90168413359688,1.08300712638268,1.0315730256419
"interview",-0.149396778881255,-1.30813639468901,1.29190926100735,0.793542992665798,0.886850591101223,1.07298350137527
"interview_online",0.203236750905556,-0.117501492199194,0.109985488643909,0.685501043234085,0.889653593288307,0.838516307460935
"narratives",-0.762295884579317,-0.334256337659004,0.561243395234761,0.74345267431701,1.07063429396137,1.26588018923765
"news_blog",-0.467273510869056,0.5035098141807,0.110351716831546,0.832765910439873,1.14257177139149,1.04957171552161
"pearStories",-0.8077282379789,-2.07846616461027,-0.0373118929578655,0.709305883591392,0.700863326173155,1.97245528561255
"personal_blog",-0.454061671376313,-0.667465815219549,0.140204994901752,0.815988761717549,0.979008292545083,1.12355133654091
"podcasts",1.03314649529528,-0.0370666000575061,-0.0018758565036721,0.896284156612184,0.763831469475291,0.828876321590215
"santabarbara",0.195928854822225,-1.36497299924721,0.315502356230762,0.623461205200325,0.6990117980419,0.803627764982519
"speech_scripted",-0.0122957775738296,0.547258215736924,-0.128508430185241,0.363482282791528,0.534469050297915,0.951603570455009
"speech_unscripted",0.601685491418968,-0.255668005753769,-0.224678422882815,0.516027142216283,0.602020287590214,0.692959469137542
"spoken",0.176461993824608,0.280218506041727,0.0150385367242411,0.811482158554642,1.12294010723801,1.30581659650489
"sports_blog",-0.969267738398704,-0.679312626149179,0.161029871989865,0.846981501301035,0.787136018278104,0.99215346844626
"sportslive",-0.592296603033853,-0.947894211811257,0.137106972124085,0.802149837346795,0.188227681541809,0.805994638755372
"tvScripts",-0.481541547126572,-1.20402463315718,-0.572300748346965,0.463784938524006,0.491239064157645,0.356623303107252
