"register","Factor1_mean","Factor2_mean","Factor3_mean","Factor1_sd","Factor2_sd","Factor3_sd"
"brdcast_discussn",-0.398696694272182,-0.103636441554983,-0.0463424984271792,0.592595998955677,0.320304275058059,0.867441075944885
"brdcast_documentary",-1.72343626195956,0.0963702579440473,0.597724370427021,0.934093015084842,0.965109020542731,0.255150069394427
"brdcast_news",-2.18774920404723,0.442128411494255,0.18700959422015,0.553714415827982,0.413648319416157,0.29617845612435
"conversation",0.820770129546617,0.137926816020851,-2.06066931135103,0.779482565942819,0.527962042713038,0.574983589855529
"interview",0.0205663245155062,1.55132818427688,-0.817950934709531,0.698466087154017,1.1569131809676,0.832568020383156
"pearStories",0.0390338078973851,0.43372732530072,-2.09393332165331,0.386460769773868,2.02791747075992,0.886172468666275
"podcasts",-0.00257160335324916,-0.0261788082955079,0.0562881779895724,1.00662851845333,0.966873360879098,0.868747229052297
"santabarbara",0.586744341668738,0.462985065838397,-1.49515847756137,0.647316889185199,0.913095737708617,0.702764464433398
"speech_scripted",-2.11330914200224,0.054745380419475,0.707592834759165,0.57630642663165,0.953444629545021,0.412177649366256
"speech_unscripted",-0.337081592303567,-0.192266539040859,-0.291252767745335,0.676937898964551,0.802335161002131,0.731114430892592
"sportslive",-1.11558211691682,0.39825690957761,-1.19150184176293,0.978369466548493,0.78708191934084,0.279249410483262
