,Factor1,Factor2,Factor3,Register
brdcast_discussn_FL4_MAT.txt,-0.0549055252686164,0.10604127023392,-0.00371834627805678,brdcast_discussion
brdcast_discussn_FL5_MAT.txt,0.133933183067989,-0.206967032951846,-0.503187769484529,brdcast_discussion
brdcast_discussn_FL6_MAT.txt,-0.0818073527792886,0.203192338363406,0.51241891948229,brdcast_discussion
brdcast_discussn_FL7_MAT.txt,0.18273623033626,-0.25287100225204,0.37704545846953,brdcast_discussion
brdcast_discussn_FL8_MAT.txt,0.320396330775651,-0.0418697942206558,0.00338508572672881,brdcast_discussion
brdcast_discussn_FL9_MAT.txt,-0.111320441819671,0.644739308816299,0.300446067754279,brdcast_discussion
brdcast_discussn_FLA_MAT.txt,-0.285197655690186,-0.608256637476988,-0.115903418791338,brdcast_discussion
brdcast_discussn_FLB_MAT.txt,0.0866034365217648,0.2140932948561,0.640603691132933,brdcast_discussion
brdcast_discussn_FLC_MAT.txt,0.0140878650562151,0.159530453278318,-0.450496265684025,brdcast_discussion
brdcast_discussn_FLD_MAT.txt,-0.292097209498062,-0.0650087086550462,0.220460528222684,brdcast_discussion
brdcast_discussn_FLE_MAT.txt,-0.419228079851359,-0.193756952577027,0.661631325811136,brdcast_discussion
brdcast_discussn_FLF_MAT.txt,-0.0914849078171088,0.0861506868349593,0.492152603085561,brdcast_discussion
brdcast_discussn_FLG_MAT.txt,-0.130779339605477,0.0930089866272839,0.202110239396024,brdcast_discussion
brdcast_discussn_FLH_MAT.txt,-0.625779274007223,-0.475031056091236,0.0836407381456347,brdcast_discussion
brdcast_discussn_FLK_MAT.txt,0.399174704606095,-0.371124309823225,0.010343380869258,brdcast_discussion
brdcast_discussn_FLL_MAT.txt,-0.368511675430105,-0.0882595621653589,-0.195671831915302,brdcast_discussion
brdcast_discussn_FLM_MAT.txt,-0.0296397628742482,-0.111836215779565,-0.0593743513322563,brdcast_discussion
brdcast_discussn_FLP_MAT.txt,0.0516494962414724,-0.0688705629245537,-0.530795809659696,brdcast_discussion
