"register","Factor1","Factor2","Factor3"
"brdcast_discussn",-0.398696694272182,-0.103636441554983,-0.0463424984271792
"brdcast_documentary",-1.72343626195956,0.0963702579440473,0.597724370427021
"brdcast_news",-2.18774920404723,0.442128411494255,0.18700959422015
"conversation",0.820770129546617,0.137926816020851,-2.06066931135103
"interview",0.0205663245155062,1.55132818427688,-0.817950934709531
"pearStories",0.0390338078973851,0.43372732530072,-2.09393332165331
"podcasts",-0.00257160335324916,-0.0261788082955079,0.0562881779895724
"santabarbara",0.586744341668738,0.462985065838397,-1.49515847756137
"speech_scripted",-2.11330914200224,0.054745380419475,0.707592834759165
"speech_unscripted",-0.337081592303567,-0.192266539040859,-0.291252767745335
"sportslive",-1.11558211691682,0.39825690957761,-1.19150184176293
